date,ticker,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,qty,pullback_ordinal,r_at_entry,pnl_dollars,pnl_r
2024-04-29,MULN,2024-04-29 09:54:00,3.864225,3.8,3.9926749999999998,2024-04-29 09:57:00,3.9727116249999996,target,1557,1,0.06422499999999998,168.91367512499974,1.689165044764498
2024-04-30,CYCC,2024-04-30 10:30:00,2.1607499999999997,2.07,2.3422499999999995,2024-04-30 10:34:00,2.15915,ema_trail,1120,1,0.09074999999999989,-1.7919999999998026,-0.017630853994488438
2024-04-30,WGS,2024-04-30 09:38:00,14.884049999999998,13.92,16.812149999999995,2024-04-30 10:23:00,15.6016,time,105,1,0.9640499999999985,75.34275000000011,0.7443078678491801
2024-05-01,CTMX,2024-05-01 09:53:00,3.0652499999999994,2.945,3.3057499999999984,2024-05-01 09:54:00,3.2892212499999984,target,851,1,0.12024999999999952,190.5995337499992,1.8625467775467772
2024-05-01,IMCC,2024-05-01 10:40:00,1.2059999999999997,1.17,1.2779999999999994,2024-05-01 10:54:00,1.2039499999999999,ema_trail,2898,1,0.03599999999999981,-5.940899999999667,-0.05694444444444156
2024-05-02,EBS,2024-05-02 10:26:00,3.80895,3.57,4.286849999999999,2024-05-02 10:29:00,4.265415749999999,target,436,1,0.23895,199.0190669999996,1.910298179535464
2024-05-02,ENVX,2024-05-02 10:53:00,8.542499999999999,8.49,8.647499999999996,2024-05-02 11:00:00,8.44755,stop,2024,1,0.05249999999999844,-192.17879999999792,-1.808571428571463
2024-05-03,SGBX,2024-05-03 10:18:00,5.286299999999999,5.1,5.658899999999997,2024-05-03 10:20:00,5.630605499999997,target,560,1,0.18629999999999924,192.81107999999898,1.8481239935587737
2024-05-03,SGBX,2024-05-03 10:37:00,7.3968,6.97,8.250399999999999,2024-05-03 10:38:00,8.209147999999999,target,248,2,0.42680000000000007,201.4623039999998,1.9033458294283014
2024-05-06,SGE,2024-05-06 09:35:00,1.9195499999999996,1.86,2.0386499999999987,2024-05-06 09:37:00,1.8507,stop,1818,1,0.05954999999999955,-125.16929999999934,-1.1561712846347634
2024-05-06,SGE,2024-05-06 09:50:00,1.9999499999999997,1.84,2.319849999999999,2024-05-06 10:00:00,2.3082507499999987,target,669,2,0.1599499999999996,206.25320174999933,1.927482025633009
2024-05-06,TCBP,2024-05-06 10:13:00,2.32155,2.25,2.4646499999999993,2024-05-06 10:21:00,2.23875,stop,1524,1,0.07154999999999978,-126.18719999999963,-1.157232704402516
2024-05-08,REBN,2024-05-08 09:38:00,3.7486499999999996,3.58,4.085949999999999,2024-05-08 09:43:00,3.5621,stop,639,1,0.16864999999999952,-119.20544999999971,-1.1061369700563302
2024-05-08,REBN,2024-05-08 10:19:00,3.9596999999999993,3.64,4.599099999999998,2024-05-08 10:25:00,3.9601,ema_trail,333,2,0.3196999999999992,0.1332000000002811,0.0012511729746663908
2024-05-08,INOD,2024-05-08 09:41:00,9.6078,9.44,9.943399999999999,2024-05-08 09:50:00,9.3928,stop,635,1,0.16779999999999973,-136.52499999999992,-1.2812872467222898
2024-05-09,CPOP,2024-05-09 09:42:00,4.15065,3.88,4.691949999999999,2024-05-09 09:44:00,3.8606,stop,388,1,0.27064999999999984,-112.53939999999997,-1.071679290596712
2024-05-09,CPOP,2024-05-09 10:02:00,3.4571999999999994,3.39,3.591599999999998,2024-05-09 10:03:00,3.37305,stop,1549,2,0.06719999999999926,-130.34834999999887,-1.252232142857146
2024-05-10,NVAX,2024-05-10 09:42:00,10.331399999999999,10.155,10.684199999999997,2024-05-10 09:44:00,10.104225,stop,583,1,0.17639999999999922,-132.44302499999944,-1.2878401360544218
2024-05-10,NVAX,2024-05-10 10:10:00,10.7937,10.57,11.241099999999998,2024-05-10 10:15:00,10.51715,stop,453,2,0.22369999999999912,-125.27714999999932,-1.236253911488599
2024-05-14,CTNT,2024-05-14 10:38:00,4.07025,4.0,4.210749999999999,2024-05-14 10:39:00,4.189696249999999,target,1427,1,0.0702499999999997,170.44979874999902,1.7003024911032003
2024-05-14,KOSS,2024-05-14 10:08:00,6.26115,6.11,6.563449999999999,2024-05-14 10:13:00,6.0794500000000005,stop,674,1,0.15114999999999945,-122.46579999999953,-1.202117102216341
2024-05-14,BIG,2024-05-14 10:03:00,5.47725,5.355,5.721749999999998,2024-05-14 10:06:00,5.328225000000001,stop,824,1,0.1222499999999993,-122.79659999999924,-1.2190184049079749
2024-05-16,ASTS,2024-05-16 09:39:00,3.50745,3.29,3.94235,2024-05-16 09:45:00,3.27355,stop,457,1,0.21744999999999992,-106.89229999999989,-1.0756495746148533
2024-05-16,ASTS,2024-05-16 10:12:00,3.2059499999999996,3.19,3.237849999999999,2024-05-16 10:13:00,3.17405,stop,6172,2,0.015949999999999687,-196.88679999999889,-2.000000000000028
2024-05-20,GTBP,2024-05-20 09:37:00,7.788749999999999,7.49,8.386249999999997,2024-05-20 09:38:00,7.4525500000000005,stop,322,1,0.2987499999999992,-108.25639999999966,-1.1253556485355645
2024-05-20,MMV,2024-05-20 09:41:00,1.0653,1.0,1.1958999999999997,2024-05-20 09:45:00,1.1044500000000002,ema_trail,1460,1,0.06529999999999991,57.15900000000035,0.5995405819295604
2024-05-20,MMV,2024-05-20 10:22:00,1.9798499999999997,1.77,2.3995499999999987,2024-05-20 10:31:00,1.76115,stop,457,2,0.20984999999999965,-99.94589999999985,-1.0421729807005005
2024-05-20,FFIE,2024-05-20 09:47:00,1.8994499999999996,1.82,2.058349999999999,2024-05-20 09:57:00,1.8109,stop,1195,1,0.07944999999999958,-105.81724999999962,-1.1145374449339227
2024-05-20,FFIE,2024-05-20 10:26:00,1.7989499999999998,1.71,1.9768499999999996,2024-05-20 10:33:00,1.791,ema_trail,1055,2,0.08894999999999986,-8.387249999999897,-0.08937605396289953
2024-05-29,BNAI,2024-05-29 10:15:00,2.2009499999999997,2.19,2.2228499999999993,2024-05-29 10:17:00,2.17905,stop,8569,1,0.010949999999999793,-187.66109999999645,-2.0
2024-05-29,BNAI,2024-05-29 10:40:00,2.0502,2.01,2.1306,2024-05-29 10:41:00,1.9999499999999997,stop,2287,2,0.040200000000000014,-114.92175000000029,-1.2500000000000027
2024-06-03,BPTH,2024-06-03 10:52:00,3.2561999999999998,3.19,3.3885999999999994,2024-06-03 10:55:00,3.17405,stop,1371,1,0.06619999999999981,-112.62764999999993,-1.2409365558912413
2024-06-04,MLGO,2024-06-04 10:04:00,8.321399999999999,7.65,9.664199999999996,2024-06-04 10:06:00,7.611750000000001,stop,133,1,0.6713999999999984,-94.38344999999975,-1.0569705093833777
2024-06-04,MLGO,2024-06-04 10:24:00,7.256099999999999,7.01,7.748299999999998,2024-06-04 10:25:00,6.97495,stop,360,2,0.24609999999999932,-101.21399999999977,-1.142421779764324
2024-06-04,CORZ,2024-06-04 10:03:00,6.658124999999999,6.58,6.814374999999997,2024-06-04 10:04:00,6.5471,stop,1122,1,0.07812499999999911,-124.57004999999867,-1.421120000000001
2024-06-06,FRGT,2024-06-06 09:35:00,1.11555,1.05,1.24665,2024-06-06 09:36:00,1.24041675,target,1319,1,0.06555,164.69924325000002,1.9049084668192224
2024-06-06,FRGT,2024-06-06 10:21:00,1.4873999999999998,1.44,1.5821999999999996,2024-06-06 10:22:00,1.5742889999999996,target,1859,2,0.04739999999999989,161.5266509999996,1.8331012658227843
2024-06-13,LGVN,2024-06-13 10:01:00,2.2813499999999998,2.2,2.444049999999999,2024-06-13 10:03:00,2.431829749999999,target,1103,1,0.08134999999999959,165.97916424999917,1.8497818070067609
2024-06-14,KAVL,2024-06-14 10:44:00,4.8340499999999995,4.78,4.942149999999998,2024-06-14 10:45:00,4.917439249999998,target,1691,1,0.054049999999999265,141.01122174999807,1.5428168362627195
2024-06-14,LGVN,2024-06-14 09:36:00,3.8390999999999993,3.68,4.1572999999999976,2024-06-14 09:37:00,3.6616,stop,583,1,0.15909999999999913,-103.4824999999996,-1.1156505342551872
2024-06-17,SCNI,2024-06-17 10:02:00,5.839049999999999,5.67,6.177149999999998,2024-06-17 10:04:00,5.84065,ema_trail,542,1,0.16904999999999948,0.8672000000003859,0.009464655427392587
2024-06-17,TRNR,2024-06-17 09:47:00,6.894299999999999,6.7,7.282899999999998,2024-06-17 09:48:00,7.246485499999998,target,472,1,0.19429999999999925,166.2315559999992,1.8125862068965497
2024-06-18,CMTL,2024-06-18 10:22:00,3.8943749999999997,3.69,4.303125,2024-06-18 10:39:00,3.67155,stop,457,1,0.20437499999999975,-101.83102499999993,-1.0902752293577986
2024-06-24,REVB,2024-06-24 09:38:00,3.76875,3.43,4.446249999999999,2024-06-24 09:39:00,3.41285,stop,272,1,0.33874999999999966,-96.80479999999991,-1.0506273062730627
2024-06-24,REVB,2024-06-24 10:12:00,3.1155,3.08,3.1864999999999997,2024-06-24 10:13:00,3.1705674999999998,target,2576,2,0.035499999999999865,141.85387999999955,1.5511971830985924
2024-06-25,RGS,2024-06-25 09:43:00,16.954349999999998,14.47,21.923049999999993,2024-06-25 10:01:00,17.34285,ema_trail,37,1,2.4843499999999974,14.374500000000019,0.15637893211504053
2024-06-26,AIEV,2024-06-26 09:39:00,3.6380999999999997,3.16,4.594299999999999,2024-06-26 09:42:00,3.1442,stop,194,1,0.4780999999999995,-95.81659999999991,-1.033047479606777
2024-06-27,BSFC,2024-06-27 10:15:00,2.40195,2.295,2.6158499999999996,2024-06-27 10:17:00,2.4078999999999997,ema_trail,860,1,0.10694999999999988,5.116999999999914,0.05563347358578688
